时间,信号,仓位,止损价,采样日收盘,原因,执行状态
2022-05-11,LONG_CLOSE,0.0,0.0,28243.0,周线转BEAR,未执行
2022-05-18,LONG_CLOSE,0.0,0.0,29173.0,周线转BEAR,未执行
2022-05-25,LONG_CLOSE,0.0,0.0,29747.5,周线转BEAR,未执行
2022-06-01,LONG_CLOSE,0.0,0.0,29658.0,周线转BEAR,未执行
2022-06-08,LONG_CLOSE,0.0,0.0,30169.5,周线转BEAR,未执行
2022-06-15,LONG_CLOSE,0.0,0.0,21638.5,周线转BEAR,未执行
2022-06-22,LONG_CLOSE,0.0,0.0,19868.0,周线转BEAR,未执行
2022-06-29,LONG_CLOSE,0.0,0.0,20164.0,周线转BEAR,未执行
2022-07-06,LONG_CLOSE,0.0,0.0,20382.5,周线转BEAR,未执行
2022-07-13,LONG_CLOSE,0.0,0.0,19638.5,周线转BEAR,未执行
2022-07-20,LONG_CLOSE,0.0,0.0,23282.0,周线转BEAR,未执行
2022-07-27,LONG_CLOSE,0.0,0.0,22764.0,周线转BEAR,未执行
2022-08-03,LONG_CLOSE,0.0,0.0,23316.5,周线转BEAR,未执行
2022-08-10,LONG_CLOSE,0.0,0.0,23863.5,周线转BEAR,未执行
2022-08-17,LONG_CLOSE,0.0,0.0,23396.5,周线转BEAR,未执行
2022-08-24,LONG_CLOSE,0.0,0.0,21687.0,周线转BEAR,未执行
2022-08-31,LONG_CLOSE,0.0,0.0,20198.5,周线转BEAR,未执行
2022-09-07,LONG_CLOSE,0.0,0.0,19385.5,周线转BEAR,未执行
2022-09-14,LONG_CLOSE,0.0,0.0,19941.5,周线转BEAR,未执行
2022-09-21,LONG_CLOSE,0.0,0.0,18882.5,周线转BEAR,未执行
2022-09-28,LONG_CLOSE,0.0,0.0,19553.5,周线转BEAR,未执行
2022-10-05,LONG_CLOSE,0.0,0.0,20010.5,周线转BEAR,未执行
2022-10-12,LONG_CLOSE,0.0,0.0,19147.5,周线转BEAR,未执行
2022-10-19,LONG_CLOSE,0.0,0.0,19184.5,周线转BEAR,未执行
2022-10-26,LONG_CLOSE,0.0,0.0,20745.0,周线转BEAR,未执行
2022-11-16,LONG_CLOSE,0.0,0.0,16519.5,周线转BEAR,未执行
2022-11-23,LONG_CLOSE,0.0,0.0,16463.5,周线转BEAR,未执行
2022-11-30,LONG_CLOSE,0.0,0.0,17087.0,周线转BEAR,未执行
2022-12-07,LONG_CLOSE,0.0,0.0,16817.0,周线转BEAR,未执行
2022-12-14,LONG_CLOSE,0.0,0.0,17812.0,周线转BEAR,未执行
2022-12-21,LONG_CLOSE,0.0,0.0,16770.5,周线转BEAR,未执行
2023-01-02,LONG_CLOSE,0.0,0.0,16749.0,周线转BEAR,未执行
2023-01-09,LONG_CLOSE,0.0,0.0,17163.0,周线转BEAR,未执行
2023-01-16,LONG_CLOSE,0.0,0.0,21118.0,周线转BEAR,未执行
2023-01-23,LONG_CLOSE,0.0,0.0,22982.0,周线转BEAR,未执行
