时间,信号,仓位,止损价,采样日收盘,原因,执行状态
2022-01-06,REDUCE,0.0,0.0,15770.3,5浪末端衰竭,未执行
2022-01-17,REDUCE,0.0,0.0,15570.5,5浪末端衰竭,未执行
2022-01-26,LONG_CLOSE,0.0,0.0,14160.7,浪型破坏,未执行
2022-02-04,REDUCE,0.0,0.0,14694.2,5浪末端衰竭,未执行
2022-02-15,REDUCE,0.0,0.0,14616.9,5浪末端衰竭,未执行
2022-02-24,LONG_CLOSE,0.0,0.0,13969.4,浪型破坏,未执行
2022-03-07,LONG_CLOSE,0.0,0.0,13321.6,浪型破坏,未执行
2022-03-16,LONG_CLOSE,0.0,0.0,13958.8,浪型破坏,未执行
2022-03-25,REDUCE,0.0,0.0,14759.0,5浪末端衰竭,未执行
2022-04-05,REDUCE,0.0,0.0,14829.8,5浪末端衰竭,未执行
2022-04-14,LONG_CLOSE,0.0,0.0,13896.1,浪型破坏,未执行
2022-04-26,LONG_CLOSE,0.0,0.0,13012.6,周线转BEAR,未执行
2022-05-05,LONG_CLOSE,0.0,0.0,12861.7,周线转BEAR,未执行
2022-05-16,LONG_CLOSE,0.0,0.0,12249.4,周线转BEAR,未执行
2022-05-25,LONG_CLOSE,0.0,0.0,11948.1,周线转BEAR,未执行
2022-06-03,LONG_CLOSE,0.0,0.0,12548.8,周线转BEAR,未执行
2022-06-14,LONG_CLOSE,0.0,0.0,11322.5,周线转BEAR,未执行
2022-06-23,LONG_CLOSE,0.0,11040.3,11707.8,周线转BEAR,未执行
2022-07-04,LONG_CLOSE,0.0,0.0,11533.5,周线转BEAR,未执行
2022-07-13,LONG_CLOSE,0.0,0.0,11735.2,周线转BEAR,未执行
2022-07-22,LONG_CLOSE,0.0,0.0,12398.6,周线转BEAR,未执行
2022-08-02,LONG_CLOSE,0.0,0.0,12908.7,周线转BEAR,未执行
2022-08-11,LONG_CLOSE,0.0,0.0,13303.5,周线转BEAR,未执行
2022-08-22,LONG_CLOSE,0.0,0.0,12897.2,周线转BEAR,未执行
2022-08-31,LONG_CLOSE,0.0,11040.3,12271.4,周线转BEAR,未执行
2022-09-09,LONG_CLOSE,0.0,11040.3,12585.8,周线转BEAR,未执行
2022-09-20,LONG_CLOSE,0.0,11040.3,11872.6,周线转BEAR,未执行
2022-09-29,LONG_CLOSE,0.0,11040.3,11167.1,周线转BEAR,未执行
2022-10-10,LONG_CLOSE,0.0,0.0,10935.8,周线转BEAR,未执行
2022-10-19,LONG_CLOSE,0.0,0.0,11099.6,周线转BEAR,未执行
2022-10-28,LONG_CLOSE,0.0,0.0,11577.6,周线转BEAR,未执行
2022-11-08,LONG_CLOSE,0.0,0.0,11050.3,周线转BEAR,未执行
2022-11-17,LONG_CLOSE,0.0,0.0,11697.0,周线转BEAR,未执行
2022-11-28,LONG_CLOSE,0.0,0.0,11602.8,周线转BEAR,未执行
2022-12-07,LONG_CLOSE,0.0,0.0,11489.0,周线转BEAR,未执行
2022-12-16,LONG_CLOSE,0.0,0.0,11208.4,周线转BEAR,未执行
2022-12-28,LONG_CLOSE,0.0,0.0,10690.9,周线转BEAR,未执行
2023-01-09,LONG_CLOSE,0.0,10664.7,11111.1,周线转BEAR,未执行
2023-01-18,LONG_CLOSE,0.0,10664.7,11422.7,周线转BEAR,未执行
2023-01-27,LONG_CLOSE,0.0,0.0,12174.0,周线转BEAR,未执行
2023-02-16,LONG_OPEN,0.6,10664.7,12432.3,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,执行
2023-02-27,LONG_OPEN,0.6,10664.7,12068.9,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,已有持仓，信号去重跳过
2023-03-08,LONG_OPEN,0.6,10664.7,12224.9,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,已有持仓，信号去重跳过
2023-03-17,LONG_OPEN,0.0,10664.7,12518.6,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,已有持仓，信号去重跳过
2023-05-05,LONG_OPEN,0.6,10664.7,13244.8,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,已有持仓，信号去重跳过
2023-05-16,LONG_OPEN,0.6,10664.7,13456.4,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,执行
2024-01-09,LONG_OPEN,0.2,14699.1,16686.7,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻; 周线5浪阶段, 小仓位",执行
2024-01-18,LONG_OPEN,0.2,14699.1,16996.3,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻; 周线5浪阶段, 小仓位",已有持仓，信号去重跳过
2024-01-29,LONG_OPEN,0.2,14699.1,17608.0,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻; 周线5浪阶段, 小仓位",已有持仓，信号去重跳过
2024-06-05,LONG_OPEN,0.2,17324.6,19052.4,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻; 周线5浪阶段, 小仓位",执行
2024-06-14,LONG_OPEN,0.2,17324.6,19690.0,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻; 周线5浪阶段, 小仓位",已有持仓，信号去重跳过
2024-08-22,REDUCE,0.0,0.0,19551.0,5浪末端衰竭,未执行
2024-09-02,REDUCE,0.0,0.0,19615.4,5浪末端衰竭,未执行
2024-11-28,LONG_OPEN,0.2,17324.6,20847.8,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻",执行
