时间,信号,仓位,止损价,采样日收盘,原因,执行状态
2021-09-17,LONG_OPEN,0.2,4138.9,4431.9,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻",执行
2021-09-28,LONG_OPEN,0.2,4138.9,4356.0,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻",已有持仓，信号去重跳过
2021-10-07,LONG_OPEN,0.2,4138.9,4400.8,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻",已有持仓，信号去重跳过
2021-10-18,LONG_OPEN,0.2,4138.9,4486.4,"周线波浪多头; 日线缠论B3买点; M5缺失跳过; 浪型完好; B3低优先级买点, 仓位从轻",已有持仓，信号去重跳过
2022-05-04,LONG_CLOSE,0.0,0.0,4302.9,周线转BEAR,未执行
2022-05-13,LONG_CLOSE,0.0,0.0,4025.0,周线转BEAR,未执行
2022-05-24,LONG_CLOSE,0.0,0.0,3945.4,周线转BEAR,未执行
2022-06-02,LONG_CLOSE,0.0,0.0,4177.4,周线转BEAR,未执行
2022-06-13,LONG_CLOSE,0.0,0.0,3752.0,周线转BEAR,未执行
2022-06-22,LONG_CLOSE,0.0,0.0,3760.5,周线转BEAR,未执行
2022-07-01,LONG_CLOSE,0.0,0.0,3827.7,周线转BEAR,未执行
2022-07-12,LONG_CLOSE,0.0,0.0,3822.5,周线转BEAR,未执行
2022-07-21,LONG_CLOSE,0.0,0.0,3999.6,周线转BEAR,未执行
2022-08-01,LONG_CLOSE,0.0,0.0,4118.8,周线转BEAR,未执行
2022-08-10,LONG_CLOSE,0.0,0.0,4210.4,周线转BEAR,未执行
2022-08-19,LONG_CLOSE,0.0,0.0,4228.0,周线转BEAR,未执行
2022-08-30,LONG_CLOSE,0.0,3810.9,3985.9,周线转BEAR,未执行
2022-09-08,LONG_CLOSE,0.0,0.0,4009.3,周线转BEAR,未执行
2022-09-19,LONG_CLOSE,0.0,0.0,3904.0,周线转BEAR,未执行
2022-09-28,LONG_CLOSE,0.0,0.0,3719.2,周线转BEAR,未执行
2022-10-07,LONG_CLOSE,0.0,0.0,3635.1,周线转BEAR,未执行
2022-10-18,LONG_CLOSE,0.0,0.0,3746.6,周线转BEAR,未执行
2022-10-27,LONG_CLOSE,0.0,0.0,3765.4,周线转BEAR,未执行
2022-11-07,LONG_CLOSE,0.0,0.0,3809.4,周线转BEAR,未执行
2022-11-16,LONG_CLOSE,0.0,0.0,3972.8,周线转BEAR,未执行
2022-11-25,LONG_CLOSE,0.0,0.0,4030.5,周线转BEAR,未执行
2022-12-06,LONG_CLOSE,0.0,0.0,3942.8,周线转BEAR,未执行
2022-12-15,LONG_CLOSE,0.0,0.0,3894.6,周线转BEAR,未执行
