时间,信号,仓位,止损价,采样日收盘,原因,执行状态
2021-06-29,LONG_CLOSE,0.0,0.0,25.75,周线转BEAR,未执行
2021-07-08,LONG_CLOSE,0.0,0.0,25.91,周线转BEAR,未执行
2021-07-19,LONG_CLOSE,0.0,0.0,25.16,周线转BEAR,未执行
2021-07-28,LONG_CLOSE,0.0,0.0,24.95,周线转BEAR,未执行
2021-08-06,LONG_CLOSE,0.0,0.0,24.3,周线转BEAR,未执行
2021-08-17,LONG_CLOSE,0.0,0.0,23.65,周线转BEAR,未执行
2021-08-26,LONG_CLOSE,0.0,0.0,23.53,周线转BEAR,未执行
2021-09-06,LONG_CLOSE,0.0,0.0,24.67,周线转BEAR,未执行
2021-09-15,LONG_CLOSE,0.0,0.0,23.82,周线转BEAR,未执行
2021-09-24,LONG_CLOSE,0.0,0.0,22.38,周线转BEAR,未执行
2021-10-05,LONG_CLOSE,0.0,0.0,22.6,周线转BEAR,未执行
2021-10-14,LONG_CLOSE,0.0,0.0,23.5,周线转BEAR,未执行
2021-10-25,LONG_CLOSE,0.0,0.0,24.55,周线转BEAR,未执行
2021-11-03,LONG_CLOSE,0.0,0.0,23.52,周线转BEAR,未执行
2021-11-12,LONG_CLOSE,0.0,0.0,25.27,周线转BEAR,未执行
2021-11-23,LONG_CLOSE,0.0,0.0,23.65,周线转BEAR,未执行
2021-12-02,LONG_CLOSE,0.0,22.02,22.37,周线转BEAR,未执行
2021-12-13,LONG_CLOSE,0.0,0.0,22.31,周线转BEAR,未执行
2021-12-22,LONG_CLOSE,0.0,0.0,22.78,周线转BEAR,未执行
2022-01-03,LONG_CLOSE,0.0,0.0,22.87,周线转BEAR,未执行
2022-01-12,LONG_CLOSE,0.0,0.0,23.13,周线转BEAR,未执行
2022-01-21,LONG_CLOSE,0.0,0.0,24.25,周线转BEAR,未执行
2022-02-01,LONG_CLOSE,0.0,0.0,22.62,周线转BEAR,未执行
2022-02-10,LONG_CLOSE,0.0,0.0,23.18,周线转BEAR,未执行
2022-02-21,LONG_CLOSE,0.0,0.0,23.92,周线转BEAR,未执行
2022-03-02,LONG_CLOSE,0.0,0.0,25.27,周线转BEAR,未执行
2022-03-11,LONG_CLOSE,0.0,0.0,25.83,周线转BEAR,未执行
2022-03-22,LONG_CLOSE,0.0,0.0,24.76,周线转BEAR,未执行
2022-03-31,LONG_CLOSE,0.0,0.0,24.78,周线转BEAR,未执行
2022-04-11,LONG_CLOSE,0.0,0.0,25.11,周线转BEAR,未执行
2022-05-02,LONG_CLOSE,0.0,0.0,22.62,周线转BEAR,未执行
2022-05-11,LONG_CLOSE,0.0,0.0,21.55,周线转BEAR,未执行
2022-05-20,LONG_CLOSE,0.0,0.0,21.74,周线转BEAR,未执行
2022-05-31,LONG_CLOSE,0.0,0.0,21.54,周线转BEAR,未执行
2022-06-09,LONG_CLOSE,0.0,0.0,21.66,周线转BEAR,未执行
2022-06-29,LONG_CLOSE,0.0,0.0,20.73,周线转BEAR,未执行
2022-07-08,LONG_CLOSE,0.0,22.02,19.3,周线转BEAR,未执行
2022-07-19,LONG_CLOSE,0.0,22.02,18.73,周线转BEAR,未执行
2022-07-28,LONG_CLOSE,0.0,22.02,20.01,周线转BEAR,未执行
2022-08-08,LONG_CLOSE,0.0,0.0,20.65,周线转BEAR,未执行
2022-08-17,LONG_CLOSE,0.0,0.0,19.78,周线转BEAR,未执行
2022-08-26,LONG_CLOSE,0.0,18.13,18.88,周线转BEAR,未执行
2022-09-06,LONG_CLOSE,0.0,0.0,17.99,周线转BEAR,未执行
2022-09-15,LONG_CLOSE,0.0,0.0,19.15,周线转BEAR,未执行
2022-09-26,LONG_CLOSE,0.0,0.0,18.36,周线转BEAR,未执行
2022-10-05,LONG_CLOSE,0.0,0.0,20.62,周线转BEAR,未执行
