时间,信号,仓位,止损价,采样日收盘,原因,执行状态
2021-01-20,LONG_CLOSE,0.0,0.0,1871.26,周线转BEAR,未执行
2021-01-29,LONG_CLOSE,0.0,0.0,1847.43,周线转BEAR,未执行
2021-02-09,LONG_CLOSE,0.0,0.0,1837.5,周线转BEAR,未执行
2021-02-18,LONG_CLOSE,0.0,0.0,1775.26,周线转BEAR,未执行
2021-03-01,LONG_CLOSE,0.0,0.0,1724.62,周线转BEAR,未执行
2021-03-10,LONG_CLOSE,0.0,0.0,1726.16,周线转BEAR,未执行
2021-03-19,LONG_CLOSE,0.0,0.0,1744.97,周线转BEAR,未执行
2021-03-30,LONG_CLOSE,0.0,0.0,1684.89,周线转BEAR,未执行
2021-04-09,LONG_CLOSE,0.0,0.0,1743.29,周线转BEAR,未执行
2021-04-20,LONG_CLOSE,0.0,0.0,1778.38,周线转BEAR,未执行
2021-04-29,LONG_CLOSE,0.0,0.0,1772.1,周线转BEAR,未执行
2021-05-10,LONG_CLOSE,0.0,0.0,1835.36,周线转BEAR,未执行
2021-05-19,LONG_CLOSE,0.0,0.0,1869.97,周线转BEAR,未执行
2021-05-28,LONG_CLOSE,0.0,0.0,1902.98,周线转BEAR,未执行
2021-06-08,LONG_CLOSE,0.0,0.0,1892.86,周线转BEAR,未执行
2021-06-17,LONG_CLOSE,0.0,0.0,1772.58,周线转BEAR,未执行
2021-06-28,LONG_CLOSE,0.0,0.0,1778.83,周线转BEAR,未执行
2021-07-07,LONG_CLOSE,0.0,0.0,1803.39,周线转BEAR,未执行
2021-07-16,LONG_CLOSE,0.0,0.0,1811.33,周线转BEAR,未执行
2021-07-27,LONG_CLOSE,0.0,0.0,1798.36,周线转BEAR,未执行
2021-08-05,LONG_CLOSE,0.0,0.0,1803.57,周线转BEAR,未执行
2021-10-04,LONG_OPEN,0.6,1682.6,1769.19,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,执行
2021-10-13,LONG_CLOSE,0.0,1682.6,1792.57,周线转BEAR,未执行
2021-10-22,LONG_CLOSE,0.0,0.0,1792.49,周线转BEAR,未执行
2021-11-02,LONG_CLOSE,0.0,0.0,1787.61,周线转BEAR,未执行
2021-12-01,LONG_OPEN,0.6,1682.6,1781.68,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,执行
2021-12-21,LONG_OPEN,0.6,1682.6,1788.43,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,已有持仓，信号去重跳过
2022-01-11,LONG_OPEN,0.6,1682.6,1821.24,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,已有持仓，信号去重跳过
2022-01-20,LONG_OPEN,0.6,1682.6,1839.34,周线波浪多头; 日线缠论B2买点; M5缺失跳过; 浪型完好,已有持仓，信号去重跳过
