采样时间,wave_label,bias,status,wave_broken
2022-04-06,3,BULL,RUNNING,False
2022-04-13,3,BULL,RUNNING,False
2022-04-20,3,BULL,RUNNING,False
2022-04-27,3,BULL,RUNNING,False
2022-05-04,3,BULL,RUNNING,False
2022-05-11,3,BEAR,RUNNING,False
2022-05-18,3,BEAR,RUNNING,False
2022-05-25,3,BEAR,RUNNING,False
2022-06-01,3,BEAR,RUNNING,False
2022-06-08,3,BEAR,RUNNING,False
2022-06-15,3,BEAR,RUNNING,False
2022-06-22,3,BEAR,RUNNING,False
2022-06-29,3,BEAR,RUNNING,False
2022-07-06,3,BEAR,RUNNING,False
2022-07-13,3,BEAR,RUNNING,False
2022-07-20,3,BEAR,RUNNING,False
2022-07-27,4,BEAR,RUNNING,False
2022-08-03,4,BEAR,RUNNING,False
2022-08-10,4,BEAR,RUNNING,False
2022-08-17,4,BEAR,RUNNING,False
2022-08-24,4,BEAR,RUNNING,False
2022-08-31,4,BEAR,RUNNING,False
2022-09-07,4,BEAR,RUNNING,False
2022-09-14,4,BEAR,RUNNING,False
2022-09-21,4,BEAR,RUNNING,False
2022-09-28,5,BEAR,RUNNING,False
2022-10-05,5,BEAR,RUNNING,False
2022-10-12,5,BEAR,RUNNING,False
2022-10-19,5,BEAR,RUNNING,False
2022-10-26,5,BEAR,RUNNING,False
2022-11-02,3,BULL,RUNNING,False
2022-11-09,3,BULL,RUNNING,False
2022-11-16,4,BEAR,RUNNING,False
2022-11-23,4,BEAR,RUNNING,False
2022-11-30,4,BEAR,RUNNING,False
2022-12-07,4,BEAR,RUNNING,False
2022-12-14,3,BEAR,RUNNING,False
2022-12-21,3,BEAR,RUNNING,False
2023-01-02,4,BEAR,RUNNING,False
2023-01-09,4,BEAR,RUNNING,False
2023-01-16,3,BEAR,RUNNING,False
2023-01-23,3,BEAR,RUNNING,True
2023-01-30,3,BEAR,RUNNING,True
2023-02-06,3,BEAR,RUNNING,True
2023-02-13,3,BEAR,RUNNING,True
2023-02-20,3,BEAR,RUNNING,True
2023-02-27,3,BEAR,RUNNING,True
2023-03-06,3,BEAR,RUNNING,True
2023-03-13,3,BEAR,RUNNING,False
2023-03-20,3,BEAR,RUNNING,True
2023-03-27,3,BEAR,RUNNING,True
2023-04-03,3,BEAR,RUNNING,True
2023-04-10,3,BEAR,RUNNING,True
2023-04-17,3,BEAR,RUNNING,True
2023-04-24,3,BEAR,RUNNING,True
2023-05-01,3,BEAR,RUNNING,True
2023-05-08,3,BEAR,RUNNING,True
2023-05-15,3,BEAR,RUNNING,True
2023-05-22,4,BULL,RUNNING,False
2023-05-29,4,BULL,RUNNING,False
2023-06-05,4,BULL,RUNNING,False
2023-06-12,4,BULL,RUNNING,False
2023-06-19,4,BULL,RUNNING,False
2023-06-26,4,BULL,RUNNING,False
2023-07-03,4,BULL,RUNNING,False
2023-07-10,4,BULL,RUNNING,False
2023-07-17,4,BULL,RUNNING,False
2023-07-24,3,BULL,RUNNING,False
2023-07-31,3,BULL,RUNNING,False
2023-08-07,3,BULL,RUNNING,False
2023-08-14,3,BULL,RUNNING,False
2025-01-30,3,BEAR,RUNNING,True
2025-02-06,3,BEAR,RUNNING,True
2025-02-13,3,BEAR,RUNNING,True
2025-02-20,3,BEAR,RUNNING,True
2025-02-27,3,BEAR,RUNNING,True
2025-03-06,3,BEAR,RUNNING,True
2025-03-13,4,BULL,RUNNING,False
2025-03-20,4,BULL,RUNNING,False
2025-03-27,4,BULL,RUNNING,False
2025-04-03,4,BULL,RUNNING,False
2025-04-10,4,BULL,RUNNING,False
2025-04-17,4,BULL,RUNNING,False
2025-04-24,4,BULL,RUNNING,False
2025-05-01,4,BULL,RUNNING,False
2025-05-08,4,BULL,RUNNING,False
2025-05-15,4,BULL,RUNNING,False
2025-05-22,3,BULL,RUNNING,False
2025-05-29,3,BULL,RUNNING,False
2025-06-05,3,BULL,RUNNING,False
2025-06-12,3,BULL,RUNNING,False
2025-06-19,3,BULL,RUNNING,False
2025-06-26,3,BULL,RUNNING,False
2025-07-03,4,BULL,RUNNING,False
2025-07-10,4,BULL,RUNNING,False
2025-07-17,4,BULL,RUNNING,False
2025-07-24,4,BULL,RUNNING,False
2025-07-31,3,BULL,RUNNING,False
2025-08-07,3,BULL,RUNNING,False
2025-08-14,3,BULL,RUNNING,False
2025-08-21,3,BULL,RUNNING,False
2025-08-28,3,BULL,RUNNING,False
2025-09-04,3,BULL,RUNNING,False
2025-09-11,3,BULL,RUNNING,False
2025-09-18,3,BULL,RUNNING,False
2025-09-25,4,BULL,RUNNING,False
2025-10-02,3,BULL,RUNNING,False
2025-10-09,4,BULL,RUNNING,False
2025-10-16,3,BULL,RUNNING,False
2025-10-23,3,BULL,RUNNING,False
2025-10-30,3,BULL,RUNNING,False
2025-11-06,3,BULL,RUNNING,False
2025-11-13,3,BULL,RUNNING,True
2025-11-20,3,BULL,RUNNING,True
2025-11-27,3,BULL,RUNNING,True
2025-12-04,3,BULL,RUNNING,True
2025-12-11,3,BULL,RUNNING,True
2025-12-18,3,BULL,RUNNING,True
2025-12-25,3,BULL,RUNNING,True
2026-01-01,1,BEAR,RUNNING,False
2026-01-08,1,BEAR,RUNNING,False
2026-01-15,1,BEAR,RUNNING,False
2026-01-22,1,BEAR,RUNNING,False
2026-01-29,1,BEAR,RUNNING,False
2026-02-05,1,BEAR,RUNNING,False
2026-02-12,1,BEAR,RUNNING,False
2026-02-19,1,BEAR,RUNNING,False
2026-02-26,3,BEAR,RUNNING,False
2026-03-05,3,BEAR,RUNNING,False
2026-03-12,3,BEAR,RUNNING,False
2026-03-19,4,BEAR,RUNNING,False
2026-03-26,4,BEAR,RUNNING,False
2026-04-02,4,BEAR,RUNNING,False
2026-04-09,4,BEAR,RUNNING,False
2026-04-16,4,BEAR,RUNNING,False
2026-04-23,4,BEAR,RUNNING,False
2026-04-30,4,BEAR,RUNNING,False
2026-05-07,4,BEAR,RUNNING,False
2026-05-14,3,BEAR,RUNNING,False
2026-05-21,4,BEAR,RUNNING,False
2026-05-28,4,BEAR,RUNNING,False
2026-06-04,4,BEAR,RUNNING,False
2026-06-11,4,BEAR,RUNNING,False
2026-06-18,3,BEAR,RUNNING,False
2026-06-25,3,BEAR,RUNNING,False
2026-07-02,3,BEAR,RUNNING,False
2026-07-09,3,BEAR,RUNNING,False
2026-07-16,3,BEAR,RUNNING,False
2026-07-23,3,BEAR,RUNNING,False
2026-07-30,3,BEAR,RUNNING,False
2026-08-06,3,BEAR,RUNNING,False
2026-08-13,3,BEAR,RUNNING,False
2026-08-20,3,BEAR,RUNNING,False
2026-08-27,3,BEAR,RUNNING,False
