采样时间,wave_label,bias,status,wave_broken
2021-01-27,3,BULL,RUNNING,False
2021-02-05,3,BULL,RUNNING,False
2021-02-16,3,BULL,RUNNING,False
2021-02-25,3,BULL,RUNNING,False
2021-03-08,3,BULL,RUNNING,False
2021-03-17,3,BULL,RUNNING,False
2021-03-26,4,BULL,RUNNING,False
2021-04-06,4,BULL,RUNNING,False
2021-04-15,3,BULL,RUNNING,False
2021-04-26,3,BULL,RUNNING,False
2021-05-05,3,BULL,RUNNING,False
2021-05-14,3,BULL,RUNNING,False
2021-05-25,3,BULL,RUNNING,False
2021-06-03,3,BULL,RUNNING,False
2021-06-14,3,BULL,RUNNING,False
2021-06-23,3,BULL,RUNNING,False
2021-07-02,3,BULL,RUNNING,False
2021-07-13,3,BULL,RUNNING,False
2021-07-22,3,BULL,RUNNING,False
2021-08-02,3,BULL,RUNNING,False
2021-08-11,3,BULL,RUNNING,False
2021-08-20,3,BULL,RUNNING,False
2021-08-31,3,BULL,RUNNING,False
2021-09-09,3,BULL,RUNNING,False
2021-09-20,3,BULL,RUNNING,False
2021-09-29,3,BULL,RUNNING,False
2021-10-08,3,BULL,RUNNING,False
2021-10-19,4,BULL,RUNNING,False
2021-10-28,4,BULL,RUNNING,False
2021-11-08,4,BULL,RUNNING,False
2021-11-17,5,BULL,RUNNING,False
2021-11-26,5,BULL,RUNNING,False
2021-12-07,5,BULL,RUNNING,False
2021-12-16,5,BULL,RUNNING,False
2021-12-28,5,BULL,RUNNING,False
2022-01-06,5,BULL,COMPLETE,False
2022-01-17,5,BULL,COMPLETE,False
2022-01-26,5,BULL,COMPLETE,True
2022-02-04,5,BULL,COMPLETE,False
2022-02-15,5,BULL,COMPLETE,False
2022-02-24,5,BULL,COMPLETE,True
2022-03-07,5,BULL,COMPLETE,True
2022-03-16,5,BULL,COMPLETE,True
2022-03-25,5,BULL,COMPLETE,False
2022-04-05,5,BULL,COMPLETE,False
2022-04-14,5,BULL,COMPLETE,True
2022-04-26,A,BEAR,RUNNING,False
2022-05-05,3,BEAR,RUNNING,False
2022-05-16,3,BEAR,RUNNING,False
2022-05-25,3,BEAR,RUNNING,False
2022-06-03,3,BEAR,RUNNING,False
2022-06-14,3,BEAR,RUNNING,False
2022-06-23,3,BEAR,RUNNING,False
2022-07-04,3,BEAR,RUNNING,False
2022-07-13,3,BEAR,RUNNING,False
2022-07-22,3,BEAR,RUNNING,False
2022-08-02,4,BEAR,RUNNING,False
2022-08-11,3,BEAR,RUNNING,False
2022-08-22,3,BEAR,RUNNING,False
2022-08-31,4,BEAR,RUNNING,False
2022-09-09,4,BEAR,RUNNING,False
2022-09-20,4,BEAR,RUNNING,False
2022-09-29,3,BEAR,RUNNING,False
2022-10-10,3,BEAR,RUNNING,False
2022-10-19,3,BEAR,RUNNING,False
2022-10-28,3,BEAR,RUNNING,False
2022-11-08,3,BEAR,RUNNING,False
2022-11-17,3,BEAR,RUNNING,False
2022-11-28,3,BEAR,RUNNING,False
2022-12-07,3,BEAR,RUNNING,False
2022-12-16,3,BEAR,RUNNING,False
2022-12-28,4,BEAR,RUNNING,False
2023-01-09,4,BEAR,RUNNING,False
2023-01-18,3,BEAR,RUNNING,False
2023-01-27,3,BEAR,RUNNING,False
2023-02-07,3,BULL,RUNNING,False
2023-02-16,3,BULL,RUNNING,False
2023-02-27,3,BULL,RUNNING,False
2023-03-08,3,BULL,RUNNING,False
2023-03-17,4,BULL,RUNNING,False
2023-03-28,4,BULL,RUNNING,False
2023-04-06,4,BULL,RUNNING,False
2023-04-17,4,BULL,RUNNING,False
2023-04-26,3,BULL,RUNNING,False
2023-05-05,3,BULL,RUNNING,False
2023-05-16,3,BULL,RUNNING,False
2023-05-25,3,BULL,RUNNING,False
2023-06-05,3,BULL,RUNNING,False
2023-06-14,3,BULL,RUNNING,False
2023-06-23,3,BULL,RUNNING,False
2023-07-04,3,BULL,RUNNING,False
2023-07-13,3,BULL,RUNNING,False
2023-07-24,3,BULL,RUNNING,False
2023-08-02,3,BULL,RUNNING,False
2023-08-11,3,BULL,RUNNING,False
2023-08-22,3,BULL,RUNNING,False
2023-08-31,4,BULL,RUNNING,False
2023-09-11,4,BULL,RUNNING,False
2023-09-20,4,BULL,RUNNING,False
2023-09-29,4,BULL,RUNNING,False
2023-10-10,4,BULL,RUNNING,False
2023-10-19,4,BULL,RUNNING,False
2023-10-30,4,BULL,RUNNING,False
2023-11-08,4,BULL,RUNNING,False
2023-11-17,4,BULL,RUNNING,False
2023-11-28,4,BULL,RUNNING,False
2023-12-07,5,BULL,RUNNING,False
2023-12-18,5,BULL,RUNNING,False
2023-12-28,5,BULL,RUNNING,False
2024-01-09,5,BULL,RUNNING,False
2024-01-18,5,BULL,RUNNING,False
2024-01-29,5,BULL,RUNNING,False
2024-02-07,5,BULL,RUNNING,False
2024-02-16,5,BULL,RUNNING,False
2024-02-27,5,BULL,RUNNING,False
2024-03-07,5,BULL,RUNNING,False
2024-03-18,5,BULL,RUNNING,False
2024-03-27,5,BULL,RUNNING,False
2024-04-08,5,BULL,RUNNING,False
2024-04-17,5,BULL,RUNNING,False
2024-04-26,5,BULL,RUNNING,False
2024-05-07,4,BULL,RUNNING,False
2024-05-16,5,BULL,RUNNING,False
2024-05-27,5,BULL,RUNNING,False
2024-06-05,5,BULL,RUNNING,False
2024-06-14,5,BULL,RUNNING,False
2024-06-25,5,BULL,RUNNING,False
2024-07-04,5,BULL,RUNNING,False
2024-07-15,5,BULL,RUNNING,False
2024-07-24,5,BULL,RUNNING,False
2024-08-02,5,BULL,RUNNING,False
2024-08-13,5,BULL,RUNNING,False
2024-08-22,5,BULL,COMPLETE,False
2024-09-02,5,BULL,COMPLETE,False
2024-09-11,3,BULL,RUNNING,False
2024-09-20,3,BULL,RUNNING,False
2024-10-01,3,BULL,RUNNING,False
2024-10-10,3,BULL,RUNNING,False
2024-10-21,3,BULL,RUNNING,False
2024-10-30,3,BULL,RUNNING,False
2024-11-08,3,BULL,RUNNING,False
2024-11-19,3,BULL,RUNNING,False
2024-11-28,3,BULL,RUNNING,False
2024-12-09,3,BULL,RUNNING,False
2024-12-18,3,BULL,RUNNING,False
2024-12-30,3,BULL,RUNNING,False
2025-01-09,3,BULL,RUNNING,False
2025-01-20,3,BULL,RUNNING,False
2025-01-29,4,BULL,RUNNING,False
2025-02-07,4,BULL,RUNNING,False
2025-02-18,4,BULL,RUNNING,False
2025-02-27,3,BULL,RUNNING,False
2025-03-10,3,BULL,RUNNING,False
2025-03-19,3,BULL,RUNNING,True
2025-03-28,3,BULL,RUNNING,True
2025-04-08,3,BULL,RUNNING,True
2025-04-17,3,BULL,RUNNING,True
2025-04-29,3,BULL,RUNNING,True
2025-05-08,3,BULL,RUNNING,True
2025-05-19,2,BULL,RUNNING,False
2025-05-28,2,BULL,RUNNING,False
2025-06-06,2,BULL,RUNNING,False
2025-06-17,2,BULL,RUNNING,False
2025-06-26,4,BULL,RUNNING,False
2025-07-07,4,BULL,RUNNING,False
2025-07-16,4,BULL,RUNNING,False
2025-07-25,4,BULL,RUNNING,False
2025-08-05,4,BULL,RUNNING,False
2025-08-14,4,BULL,RUNNING,False
2025-08-25,4,BULL,RUNNING,False
2025-09-03,4,BULL,RUNNING,False
2025-09-12,4,BULL,RUNNING,False
2025-09-23,4,BULL,RUNNING,False
2025-10-02,4,BULL,RUNNING,False
2025-10-13,4,BULL,RUNNING,False
2025-10-22,4,BULL,RUNNING,False
2025-10-31,4,BULL,RUNNING,False
2025-11-11,4,BULL,RUNNING,False
2025-11-20,4,BULL,RUNNING,False
2025-12-01,4,BULL,RUNNING,False
2025-12-10,4,BULL,RUNNING,False
2025-12-19,4,BULL,RUNNING,False
2025-12-31,3,BULL,RUNNING,False
2026-01-12,3,BULL,RUNNING,False
2026-01-21,3,BULL,RUNNING,False
2026-01-30,3,BULL,RUNNING,False
2026-02-10,3,BULL,RUNNING,False
2026-02-19,3,BULL,RUNNING,False
2026-03-02,3,BULL,RUNNING,False
2026-03-11,3,BEAR,RUNNING,False
2026-03-20,3,BEAR,RUNNING,False
2026-03-31,3,BEAR,RUNNING,False
2026-04-09,3,BEAR,RUNNING,False
2026-04-20,3,BEAR,RUNNING,False
2026-04-29,4,BULL,RUNNING,False
2026-05-08,3,BEAR,RUNNING,True
2026-05-19,3,BEAR,RUNNING,True
2026-05-28,3,BEAR,RUNNING,True
2026-06-08,3,BEAR,RUNNING,True
2026-06-17,3,BEAR,RUNNING,True
2026-06-26,3,BEAR,RUNNING,True
2026-07-07,3,BEAR,RUNNING,True
2026-07-16,4,BULL,RUNNING,False
2026-07-27,4,BULL,RUNNING,False
2026-08-05,4,BULL,RUNNING,False
2026-08-14,4,BULL,RUNNING,False
2026-08-25,4,BULL,RUNNING,False
