采样时间,wave_label,bias,status,wave_broken
2021-01-26,3,BULL,RUNNING,False
2021-02-04,3,BULL,RUNNING,False
2021-02-15,3,BULL,RUNNING,False
2021-02-24,3,BULL,RUNNING,False
2021-03-05,3,BULL,RUNNING,False
2021-03-16,3,BULL,RUNNING,False
2021-03-25,3,BULL,RUNNING,False
2021-04-05,3,BULL,RUNNING,False
2021-04-14,3,BULL,RUNNING,False
2021-04-23,3,BULL,RUNNING,False
2021-05-04,3,BULL,RUNNING,False
2021-05-13,3,BULL,RUNNING,False
2021-05-24,3,BULL,RUNNING,False
2021-06-02,3,BULL,RUNNING,False
2021-06-11,3,BULL,RUNNING,False
2021-06-22,3,BULL,RUNNING,False
2021-07-01,3,BULL,RUNNING,False
2021-07-12,3,BULL,RUNNING,False
2021-07-21,3,BULL,RUNNING,False
2021-07-30,3,BULL,RUNNING,False
2021-08-10,3,BULL,RUNNING,False
2021-08-19,3,BULL,RUNNING,False
2021-08-30,3,BULL,RUNNING,False
2021-09-08,3,BULL,RUNNING,False
2021-09-17,3,BULL,RUNNING,False
2021-09-28,3,BULL,RUNNING,False
2021-10-07,3,BULL,RUNNING,False
2021-10-18,4,BULL,RUNNING,False
2021-10-27,4,BULL,RUNNING,False
2021-11-05,4,BULL,RUNNING,False
2021-11-16,5,BULL,RUNNING,False
2021-11-25,5,BULL,RUNNING,False
2021-12-06,5,BULL,RUNNING,False
2021-12-15,5,BULL,RUNNING,False
2021-12-27,5,BULL,RUNNING,False
2022-01-05,5,BULL,RUNNING,False
2022-01-14,5,BULL,RUNNING,False
2022-01-25,5,BULL,RUNNING,False
2022-02-03,5,BULL,RUNNING,False
2022-02-14,5,BULL,RUNNING,False
2022-02-23,5,BULL,RUNNING,False
2022-03-04,5,BULL,RUNNING,False
2022-03-15,4,BULL,RUNNING,False
2022-03-24,5,BULL,RUNNING,False
2022-04-04,2,BULL,RUNNING,False
2022-04-13,2,BULL,RUNNING,False
2022-04-25,2,BULL,RUNNING,False
2022-05-04,1,BEAR,RUNNING,False
2022-05-13,3,BEAR,RUNNING,False
2022-05-24,3,BEAR,RUNNING,False
2022-06-02,3,BEAR,RUNNING,False
2022-06-13,3,BEAR,RUNNING,False
2022-06-22,3,BEAR,RUNNING,False
2022-07-01,3,BEAR,RUNNING,False
2022-07-12,3,BEAR,RUNNING,False
2022-07-21,3,BEAR,RUNNING,False
2022-08-01,3,BEAR,RUNNING,False
2022-08-10,3,BEAR,RUNNING,False
2022-08-19,3,BEAR,RUNNING,False
2022-08-30,4,BEAR,RUNNING,False
2022-09-08,4,BEAR,RUNNING,False
2022-09-19,4,BEAR,RUNNING,False
2022-09-28,3,BEAR,RUNNING,False
2022-10-07,3,BEAR,RUNNING,False
2022-10-18,3,BEAR,RUNNING,False
2022-10-27,3,BEAR,RUNNING,False
2022-11-07,3,BEAR,RUNNING,False
