采样时间,wave_label,bias,status,wave_broken
2021-01-21,3,BULL,RUNNING,False
2021-02-01,3,BULL,RUNNING,False
2021-02-10,3,BULL,RUNNING,False
2021-02-19,3,BULL,RUNNING,False
2021-03-02,3,BULL,RUNNING,False
2021-03-11,3,BULL,RUNNING,False
2021-03-22,3,BULL,RUNNING,False
2021-03-31,3,BULL,RUNNING,False
2021-04-12,3,BULL,RUNNING,False
2021-04-21,3,BULL,RUNNING,False
2021-04-30,3,BULL,RUNNING,False
2021-05-11,3,BULL,RUNNING,False
2021-05-20,3,BULL,RUNNING,False
2021-05-31,3,BULL,RUNNING,False
2021-06-09,3,BULL,RUNNING,False
2021-06-18,3,BULL,RUNNING,False
2021-06-29,3,BEAR,RUNNING,False
2021-07-08,3,BEAR,RUNNING,False
2021-07-19,3,BEAR,RUNNING,False
2021-07-28,3,BEAR,RUNNING,False
2021-08-06,3,BEAR,RUNNING,False
2021-08-17,3,BEAR,RUNNING,False
2021-08-26,3,BEAR,RUNNING,False
2021-09-06,3,BEAR,RUNNING,False
2021-09-15,3,BEAR,RUNNING,False
2021-09-24,3,BEAR,RUNNING,False
2021-10-05,3,BEAR,RUNNING,False
2021-10-14,3,BEAR,RUNNING,False
2021-10-25,3,BEAR,RUNNING,False
2021-11-03,3,BEAR,RUNNING,False
2021-11-12,3,BEAR,RUNNING,False
2021-11-23,3,BEAR,RUNNING,False
2021-12-02,4,BEAR,RUNNING,False
2021-12-13,4,BEAR,RUNNING,False
2021-12-22,4,BEAR,RUNNING,False
2022-01-03,3,BEAR,RUNNING,False
2022-01-12,3,BEAR,RUNNING,False
2022-01-21,3,BEAR,RUNNING,False
2022-02-01,3,BEAR,RUNNING,False
2022-02-10,3,BEAR,RUNNING,False
2022-02-21,3,BEAR,RUNNING,False
2022-03-02,3,BEAR,RUNNING,False
2022-03-11,3,BEAR,RUNNING,True
2022-03-22,3,BEAR,RUNNING,False
2022-03-31,3,BEAR,RUNNING,True
2022-04-11,3,BEAR,RUNNING,False
2022-04-21,1,BULL,RUNNING,False
2022-05-02,2,BEAR,RUNNING,False
2022-05-11,2,BEAR,RUNNING,False
2022-05-20,4,BEAR,RUNNING,False
2022-05-31,2,BEAR,RUNNING,False
2022-06-09,2,BEAR,RUNNING,False
2022-06-20,2,BULL,RUNNING,False
2022-06-29,4,BEAR,RUNNING,False
2022-07-08,4,BEAR,RUNNING,False
2022-07-19,4,BEAR,RUNNING,False
2022-07-28,4,BEAR,RUNNING,False
2022-08-08,4,BEAR,RUNNING,False
2022-08-17,4,BEAR,RUNNING,False
2022-08-26,4,BEAR,RUNNING,False
