采样时间,wave_label,bias,status,wave_broken
2021-01-20,4,BEAR,RUNNING,False
2021-01-29,3,BEAR,RUNNING,False
2021-02-09,4,BEAR,RUNNING,False
2021-02-18,3,BEAR,RUNNING,False
2021-03-01,3,BEAR,RUNNING,False
2021-03-10,3,BEAR,RUNNING,False
2021-03-19,3,BEAR,RUNNING,False
2021-03-30,3,BEAR,RUNNING,False
2021-04-09,3,BEAR,RUNNING,False
2021-04-20,3,BEAR,RUNNING,False
2021-04-29,3,BEAR,RUNNING,False
2021-05-10,3,BEAR,RUNNING,False
2021-05-19,3,BEAR,RUNNING,False
2021-05-28,3,BEAR,RUNNING,False
2021-06-08,3,BEAR,RUNNING,False
2021-06-17,3,BEAR,RUNNING,False
2021-06-28,3,BEAR,RUNNING,False
2021-07-07,3,BEAR,RUNNING,False
2021-07-16,3,BEAR,RUNNING,False
2021-07-27,3,BEAR,RUNNING,False
2021-08-05,3,BEAR,RUNNING,False
2021-08-16,3,BULL,RUNNING,False
2021-08-25,3,BULL,RUNNING,False
2021-09-03,3,BULL,RUNNING,False
2021-09-14,3,BULL,RUNNING,False
2021-09-23,3,BULL,RUNNING,False
2021-10-04,3,BULL,RUNNING,False
2021-10-13,3,BEAR,RUNNING,False
2021-10-22,3,BEAR,RUNNING,False
2021-11-02,3,BEAR,RUNNING,False
2021-11-11,3,BULL,RUNNING,False
2021-11-22,3,BULL,RUNNING,False
2021-12-01,3,BULL,RUNNING,False
2021-12-10,3,BULL,RUNNING,False
2021-12-21,3,BULL,RUNNING,False
2021-12-31,3,BULL,RUNNING,False
2022-01-11,3,BULL,RUNNING,False
2022-01-20,3,BULL,RUNNING,False
2022-01-31,3,BULL,RUNNING,False
2022-02-09,3,BULL,RUNNING,False
2022-02-18,3,BULL,RUNNING,False
2022-03-01,3,BULL,RUNNING,False
2022-03-10,3,BULL,RUNNING,False
2022-03-21,3,BULL,RUNNING,False
2022-03-30,3,BULL,RUNNING,False
2022-04-08,3,BULL,RUNNING,False
2022-04-20,4,BULL,RUNNING,False
2022-04-29,4,BULL,RUNNING,False
2022-05-10,4,BULL,RUNNING,False
2022-05-19,3,BULL,RUNNING,False
2022-05-30,3,BULL,RUNNING,False
2022-06-08,3,BULL,RUNNING,False
2022-06-17,3,BULL,RUNNING,False
2022-06-28,3,BULL,RUNNING,False
2022-07-07,3,BULL,RUNNING,False
2022-07-18,3,BULL,RUNNING,True
2022-07-27,3,BULL,RUNNING,True
2022-08-05,3,BULL,RUNNING,True
2022-08-16,3,BULL,RUNNING,False
2022-08-25,3,BULL,RUNNING,True
2022-09-05,1,BEAR,RUNNING,False
2022-09-14,1,BEAR,RUNNING,False
2022-09-23,1,BEAR,RUNNING,False
2022-10-04,1,BEAR,RUNNING,False
2022-10-13,1,BEAR,RUNNING,False
2022-10-24,1,BEAR,RUNNING,False
2022-11-02,1,BEAR,RUNNING,False
2022-11-11,1,BEAR,RUNNING,False
2022-11-22,1,BEAR,RUNNING,False
2022-12-01,2,BULL,RUNNING,False
2022-12-12,2,BULL,RUNNING,False
2022-12-21,2,BULL,RUNNING,False
2023-01-03,2,BULL,RUNNING,False
2023-01-12,2,BULL,RUNNING,False
2023-01-23,4,BULL,RUNNING,False
2023-02-01,4,BULL,RUNNING,False
2023-02-10,2,BULL,RUNNING,False
2023-02-21,2,BULL,RUNNING,False
2023-03-02,2,BULL,RUNNING,False
2023-03-13,3,BEAR,RUNNING,False
2023-03-22,3,BEAR,RUNNING,True
2023-03-31,3,BEAR,RUNNING,True
2023-04-12,3,BULL,RUNNING,False
2023-04-21,3,BULL,RUNNING,False
2023-05-02,3,BULL,RUNNING,False
2023-05-11,3,BULL,RUNNING,False
2023-05-22,3,BULL,RUNNING,False
2023-05-31,3,BULL,RUNNING,False
2023-06-09,3,BULL,RUNNING,False
2023-06-20,3,BULL,RUNNING,False
2023-06-29,3,BULL,RUNNING,False
2023-07-10,3,BULL,RUNNING,False
2023-07-19,3,BULL,RUNNING,False
2023-07-28,4,BULL,RUNNING,False
2023-08-08,3,BULL,RUNNING,False
2023-08-17,3,BULL,RUNNING,False
2023-08-28,3,BEAR,RUNNING,False
2023-09-06,3,BEAR,RUNNING,False
2023-09-15,3,BEAR,RUNNING,False
2023-09-26,3,BEAR,RUNNING,False
2023-10-05,3,BEAR,RUNNING,False
2023-10-16,3,BEAR,RUNNING,False
2023-10-25,3,BEAR,RUNNING,False
2023-11-03,3,BEAR,RUNNING,True
2023-11-14,3,BEAR,RUNNING,False
2023-11-23,3,BEAR,RUNNING,False
2023-12-04,3,BEAR,RUNNING,True
2023-12-13,3,BEAR,RUNNING,True
2023-12-22,3,BEAR,RUNNING,True
2024-01-04,3,BEAR,RUNNING,True
2024-01-15,1,BULL,RUNNING,False
2024-01-24,1,BULL,RUNNING,False
2024-02-02,1,BULL,RUNNING,False
2024-02-13,1,BULL,RUNNING,False
2024-02-22,1,BULL,RUNNING,False
2024-03-04,4,BULL,RUNNING,False
2024-03-13,4,BULL,RUNNING,False
2024-03-22,4,BULL,RUNNING,False
2024-04-03,3,BULL,RUNNING,False
2024-04-12,3,BULL,RUNNING,False
2024-04-23,3,BULL,RUNNING,False
2024-05-02,3,BULL,RUNNING,False
2024-05-13,3,BULL,RUNNING,False
2024-05-22,4,BULL,RUNNING,False
2024-05-31,4,BULL,RUNNING,False
2024-06-11,4,BULL,RUNNING,False
2024-06-20,4,BULL,RUNNING,False
2024-07-01,4,BULL,RUNNING,False
2024-07-10,4,BULL,RUNNING,False
2024-07-19,4,BULL,RUNNING,False
2024-07-30,4,BULL,RUNNING,False
2024-08-08,4,BULL,RUNNING,False
2024-08-19,4,BULL,RUNNING,False
2024-08-28,4,BULL,RUNNING,False
2024-09-06,4,BULL,RUNNING,False
2024-09-17,4,BULL,RUNNING,False
2024-09-26,4,BULL,RUNNING,False
2024-10-07,4,BULL,RUNNING,False
2024-10-16,4,BULL,RUNNING,False
2024-10-25,4,BULL,RUNNING,False
2024-11-05,4,BULL,RUNNING,False
2024-11-14,4,BULL,RUNNING,False
2024-11-25,4,BULL,RUNNING,False
2024-12-04,4,BULL,RUNNING,False
2024-12-13,4,BULL,RUNNING,False
2024-12-24,5,BULL,RUNNING,False
2025-01-06,5,BULL,RUNNING,False
2025-01-15,5,BULL,RUNNING,False
2025-01-24,5,BULL,RUNNING,False
2025-02-04,5,BULL,RUNNING,False
2025-02-13,5,BULL,RUNNING,False
2025-02-24,5,BULL,RUNNING,False
2025-03-05,5,BULL,RUNNING,False
2025-03-14,5,BULL,RUNNING,False
2025-03-25,5,BULL,RUNNING,False
2025-04-03,5,BULL,RUNNING,False
2025-04-14,5,BULL,RUNNING,False
2025-04-24,5,BULL,RUNNING,False
2025-05-05,5,BULL,RUNNING,False
2025-05-14,5,BULL,RUNNING,False
2025-05-23,5,BULL,RUNNING,False
2025-06-03,4,BULL,RUNNING,False
2025-06-12,4,BULL,RUNNING,False
2025-06-23,4,BULL,RUNNING,False
2025-07-02,4,BULL,RUNNING,False
2025-07-11,4,BULL,RUNNING,False
2025-07-22,4,BULL,RUNNING,False
2025-07-31,4,BULL,RUNNING,False
2025-08-11,4,BULL,RUNNING,False
2025-08-20,4,BULL,RUNNING,False
2025-08-29,4,BULL,RUNNING,False
2025-09-09,5,BULL,RUNNING,False
2025-09-18,5,BULL,RUNNING,False
2025-09-29,5,BULL,RUNNING,False
2025-10-08,5,BULL,RUNNING,False
2025-10-17,5,BULL,RUNNING,False
2025-10-28,5,BULL,RUNNING,False
2025-11-06,4,BULL,RUNNING,False
2025-11-17,4,BULL,RUNNING,False
2025-11-26,4,BULL,RUNNING,False
2025-12-05,4,BULL,RUNNING,False
2025-12-16,4,BULL,RUNNING,False
2025-12-26,4,BULL,RUNNING,False
2026-01-07,4,BULL,RUNNING,False
2026-01-16,4,BULL,RUNNING,False
2026-01-27,4,BULL,RUNNING,False
2026-02-05,4,BULL,RUNNING,False
2026-02-16,4,BULL,RUNNING,False
2026-02-25,4,BULL,RUNNING,False
2026-03-06,4,BULL,RUNNING,False
2026-03-17,4,BULL,RUNNING,False
2026-03-26,4,BULL,RUNNING,False
2026-04-07,4,BULL,RUNNING,False
2026-04-16,4,BULL,RUNNING,False
2026-04-27,4,BULL,RUNNING,False
2026-05-06,3,BULL,RUNNING,False
2026-05-15,3,BULL,RUNNING,False
2026-05-26,3,BULL,RUNNING,False
2026-06-04,3,BULL,RUNNING,False
2026-06-15,3,BULL,RUNNING,False
2026-06-24,3,BULL,RUNNING,False
2026-07-03,3,BULL,RUNNING,True
2026-07-14,3,BULL,RUNNING,False
2026-07-23,3,BULL,RUNNING,True
2026-08-03,4,BULL,RUNNING,False
2026-08-12,5,BULL,RUNNING,False
2026-08-21,5,BULL,RUNNING,False
2026-09-01,5,BULL,RUNNING,False
