波浪参数敏感性扫描报告（参数标定阶段1）
==============================================================================
声明: 研究项目，禁止自动下单。信号不可用于真实交易。
生成时间: 2026-09-01 15:46:20
扫描网格: SWING_N [3, 5, 7] × SWING_ATR_MULT [0.5, 1.0, 1.5] × WAVE_WINDOW [10, 14, 20] = 27 组
品种: BITCOIN, XAUUSD, XAGUSD, WTI
采样: 起点=第600根日线, 每7根一次（周线只取已闭合K线, 每轮重置波浪缓存）

【指标口径】
  数浪稳定性: 滚动数浪 vs 事后数浪（全量周线compute, 近似金标准）
    - bias一致率: 滚动采样点中 bias 与事后金标准一致的比例（越大越稳）
    - bias切换次数: 相邻采样点 bias 翻转次数（越小越稳）
  信号质量（信号制: 每个LONG_OPEN独立跟踪, 不去重、不模拟真实持仓;
               口径与阶段0一致, 统一用收盘价判定）:
    - 可执行信号 = LONG_OPEN 且 position_rate>0 且止损有效(risk>0)
    - +1R/+2R概率: 信号后 N 个交易日内收盘价达到开仓价+1R/+2R止损距离
    - 破止损概率: 信号后 N 个交易日内出现连续2根收盘<止损价
    - 60日均R: 60日窗口内先触发止损=-1R/先触发2R止盈=+2R(止损优先),
               否则按第60日收盘结算 (close-open)/risk, 所有信号平均

【4品种平均汇总表】（概率列为有信号品种的平均, 信号数为4品种合计）
  参数组         bias一致%  bias切换  label一致%  信号数  +1R30  +2R30  破SL30  +1R60  +2R60  破SL60  +1R90  +2R90  破SL90  60日均R
  N7 M1.0 W10     58.6     8.0      48.3     28    36.4   27.5   16.1   46.8   29.3   17.9   48.6   36.1   17.9   +0.550
  N7 M1.0 W14     58.6     8.0      48.3     28    36.4   27.5   16.1   46.8   29.3   17.9   48.6   36.1   17.9   +0.550
  N7 M1.0 W20     58.6     8.0      48.3     28    36.4   27.5   16.1   46.8   29.3   17.9   48.6   36.1   17.9   +0.550
  N7 M0.5 W10     58.4     7.5      45.8     28    33.4   23.3   11.9   43.8   25.1   13.7   45.6   31.9   13.7   +0.510
  N7 M0.5 W14     58.4     7.5      45.8     28    33.4   23.3   11.9   43.8   25.1   13.7   45.6   31.9   13.7   +0.510
  N7 M0.5 W20     58.4     7.5      45.8     28    33.4   23.3   11.9   43.8   25.1   13.7   45.6   31.9   13.7   +0.510
  N7 M1.5 W10     56.5     9.2      54.4     28    36.4   27.5   16.1   46.8   29.3   17.9   48.6   36.1   17.9   +0.550
  N7 M1.5 W14     56.5     9.2      54.4     28    36.4   27.5   16.1   46.8   29.3   17.9   48.6   36.1   17.9   +0.550
  N7 M1.5 W20     56.5     9.2      54.4     28    36.4   27.5   16.1   46.8   29.3   17.9   48.6   36.1   17.9   +0.550
  N5 M1.0 W10     55.9     9.5      49.4     26    51.7   40.0    3.3   65.0   41.7    5.0   66.7   48.3    5.0   +0.950
  N5 M1.0 W14     55.9     9.5      49.4     26    51.7   40.0    3.3   65.0   41.7    5.0   66.7   48.3    5.0   +0.950
  N5 M1.0 W20     55.9     9.5      49.4     26    51.7   40.0    3.3   65.0   41.7    5.0   66.7   48.3    5.0   +0.950
  N5 M0.5 W10     55.2     9.0      51.0     27    39.2   27.5    3.3   52.5   29.2    5.0   54.2   35.8    5.0   +0.710
  N5 M0.5 W14     55.2     9.0      51.0     27    39.2   27.5    3.3   52.5   29.2    5.0   54.2   35.8    5.0   +0.710
  N5 M0.5 W20     55.2     9.0      51.0     27    39.2   27.5    3.3   52.5   29.2    5.0   54.2   35.8    5.0   +0.710
  N5 M1.5 W10     53.5    12.0      59.4     25    54.2   40.0    3.3   67.5   41.7    5.0   69.2   48.3    5.0   +0.940
  N5 M1.5 W14     53.5    12.0      59.4     25    54.2   40.0    3.3   67.5   41.7    5.0   69.2   48.3    5.0   +0.940
  N5 M1.5 W20     53.5    12.0      59.4     25    54.2   40.0    3.3   67.5   41.7    5.0   69.2   48.3    5.0   +0.940
  N3 M1.0 W10     44.9    14.2      60.9     22    32.1   25.0    0.0   56.0   27.3    0.0   58.3   42.0    0.0   +0.810
  N3 M1.0 W14     44.9    14.2      60.9     22    32.1   25.0    0.0   56.0   27.3    0.0   58.3   42.0    0.0   +0.810
  N3 M1.0 W20     44.9    14.2      60.9     22    32.1   25.0    0.0   56.0   27.3    0.0   58.3   42.0    0.0   +0.810
  N3 M0.5 W10     44.0    12.8      58.5     22    32.1   25.0    0.0   56.0   27.3    0.0   58.3   42.0    0.0   +0.810
  N3 M0.5 W14     44.0    12.8      58.5     22    32.1   25.0    0.0   56.0   27.3    0.0   58.3   42.0    0.0   +0.810
  N3 M0.5 W20     44.0    12.8      58.5     22    32.1   25.0    0.0   56.0   27.3    0.0   58.3   42.0    0.0   +0.810
  N3 M1.5 W10     44.0    14.5      62.8     21    32.5   27.5    0.0   51.4   30.3    0.0   54.2   38.0    0.0   +0.800
  N3 M1.5 W14     44.0    14.5      62.8     21    32.5   27.5    0.0   51.4   30.3    0.0   54.2   38.0    0.0   +0.800
  N3 M1.5 W20     44.0    14.5      62.8     21    32.5   27.5    0.0   51.4   30.3    0.0   54.2   38.0    0.0   +0.800

【单品种明细表】

------------------------------------------------------------------------------
[BITCOIN]（参数组 | bias一致% | bias切换 | label一致% | 信号数 | +1R30 | +2R30 | 破SL30 | +1R60 | +2R60 | 破SL60 | +1R90 | +2R90 | 破SL90 | 60日均R）
  参数组         bias一致%  bias切换  label一致%  信号数  +1R30  +2R30  破SL30  +1R60  +2R60  破SL60  +1R90  +2R90  破SL90  60日均R
  N7 M1.0 W10     55.8       5      52.6      2    50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   +0.500
  N7 M1.0 W14     55.8       5      52.6      2    50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   +0.500
  N7 M1.0 W20     55.8       5      52.6      2    50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   +0.500
  N7 M0.5 W10     50.6       3      31.8      3    33.3   33.3   33.3   33.3   33.3   33.3   33.3   33.3   33.3   +0.356
  N7 M0.5 W14     50.6       3      31.8      3    33.3   33.3   33.3   33.3   33.3   33.3   33.3   33.3   33.3   +0.356
  N7 M0.5 W20     50.6       3      31.8      3    33.3   33.3   33.3   33.3   33.3   33.3   33.3   33.3   33.3   +0.356
  N7 M1.5 W10     55.8       5      52.6      2    50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   +0.500
