group_id,SWING_N,SWING_ATR_MULT,WAVE_WINDOW,symbol,n_sample,bias_agree_pct,bias_switches,label_agree_pct,n_signal,r1_30_pct,r2_30_pct,sl_30_pct,r1_60_pct,r2_60_pct,sl_60_pct,r1_90_pct,r2_90_pct,sl_90_pct,r60_avg
1,3,0.5,10,BITCOIN,154,38.3,9,50.6,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
1,3,0.5,10,XAUUSD,208,40.9,12,66.3,11,0.0,0.0,0.0,45.5,9.1,0.0,54.5,18.2,0.0,0.523
1,3,0.5,10,XAGUSD,207,49.3,17,63.3,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
1,3,0.5,10,WTI,208,47.6,13,53.8,2,50.0,50.0,0.0,100.0,50.0,0.0,100.0,100.0,0.0,1.474
1,3,0.5,10,AVG,,44.02,12.75,58.5,22,32.15,25.0,0.0,56.02,27.27,0.0,58.27,42.05,0.0,0.81
2,3,0.5,14,BITCOIN,154,38.3,9,50.6,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
2,3,0.5,14,XAUUSD,208,40.9,12,66.3,11,0.0,0.0,0.0,45.5,9.1,0.0,54.5,18.2,0.0,0.523
2,3,0.5,14,XAGUSD,207,49.3,17,63.3,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
2,3,0.5,14,WTI,208,47.6,13,53.8,2,50.0,50.0,0.0,100.0,50.0,0.0,100.0,100.0,0.0,1.474
2,3,0.5,14,AVG,,44.02,12.75,58.5,22,32.15,25.0,0.0,56.02,27.27,0.0,58.27,42.05,0.0,0.81
3,3,0.5,20,BITCOIN,154,38.3,9,50.6,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
3,3,0.5,20,XAUUSD,208,40.9,12,66.3,11,0.0,0.0,0.0,45.5,9.1,0.0,54.5,18.2,0.0,0.523
3,3,0.5,20,XAGUSD,207,49.3,17,63.3,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
3,3,0.5,20,WTI,208,47.6,13,53.8,2,50.0,50.0,0.0,100.0,50.0,0.0,100.0,100.0,0.0,1.474
3,3,0.5,20,AVG,,44.02,12.75,58.5,22,32.15,25.0,0.0,56.02,27.27,0.0,58.27,42.05,0.0,0.81
4,3,1.0,10,BITCOIN,154,40.9,11,59.7,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
4,3,1.0,10,XAUUSD,208,39.9,12,64.9,11,0.0,0.0,0.0,45.5,9.1,0.0,54.5,18.2,0.0,0.523
4,3,1.0,10,XAGUSD,207,49.3,17,61.8,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
4,3,1.0,10,WTI,208,49.5,17,57.2,2,50.0,50.0,0.0,100.0,50.0,0.0,100.0,100.0,0.0,1.474
4,3,1.0,10,AVG,,44.9,14.25,60.9,22,32.15,25.0,0.0,56.02,27.27,0.0,58.27,42.05,0.0,0.81
5,3,1.0,14,BITCOIN,154,40.9,11,59.7,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
5,3,1.0,14,XAUUSD,208,39.9,12,64.9,11,0.0,0.0,0.0,45.5,9.1,0.0,54.5,18.2,0.0,0.523
5,3,1.0,14,XAGUSD,207,49.3,17,61.8,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
5,3,1.0,14,WTI,208,49.5,17,57.2,2,50.0,50.0,0.0,100.0,50.0,0.0,100.0,100.0,0.0,1.474
5,3,1.0,14,AVG,,44.9,14.25,60.9,22,32.15,25.0,0.0,56.02,27.27,0.0,58.27,42.05,0.0,0.81
6,3,1.0,20,BITCOIN,154,40.9,11,59.7,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
6,3,1.0,20,XAUUSD,208,39.9,12,64.9,11,0.0,0.0,0.0,45.5,9.1,0.0,54.5,18.2,0.0,0.523
6,3,1.0,20,XAGUSD,207,49.3,17,61.8,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
6,3,1.0,20,WTI,208,49.5,17,57.2,2,50.0,50.0,0.0,100.0,50.0,0.0,100.0,100.0,0.0,1.474
6,3,1.0,20,AVG,,44.9,14.25,60.9,22,32.15,25.0,0.0,56.02,27.27,0.0,58.27,42.05,0.0,0.81
7,3,1.5,10,BITCOIN,154,36.4,14,55.8,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
7,3,1.5,10,XAUUSD,208,38.0,12,60.6,9,0.0,0.0,0.0,55.6,11.1,0.0,66.7,22.2,0.0,0.638
7,3,1.5,10,XAGUSD,207,50.2,19,65.2,5,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.138
7,3,1.5,10,WTI,208,51.4,13,69.7,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
7,3,1.5,10,AVG,,44.0,14.5,62.83,21,32.5,27.5,0.0,51.4,30.27,0.0,54.17,38.05,0.0,0.8
8,3,1.5,14,BITCOIN,154,36.4,14,55.8,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
8,3,1.5,14,XAUUSD,208,38.0,12,60.6,9,0.0,0.0,0.0,55.6,11.1,0.0,66.7,22.2,0.0,0.638
8,3,1.5,14,XAGUSD,207,50.2,19,65.2,5,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.138
8,3,1.5,14,WTI,208,51.4,13,69.7,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
8,3,1.5,14,AVG,,44.0,14.5,62.83,21,32.5,27.5,0.0,51.4,30.27,0.0,54.17,38.05,0.0,0.8
9,3,1.5,20,BITCOIN,154,36.4,14,55.8,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
9,3,1.5,20,XAUUSD,208,38.0,12,60.6,9,0.0,0.0,0.0,55.6,11.1,0.0,66.7,22.2,0.0,0.638
9,3,1.5,20,XAGUSD,207,50.2,19,65.2,5,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.138
9,3,1.5,20,WTI,208,51.4,13,69.7,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
9,3,1.5,20,AVG,,44.0,14.5,62.83,21,32.5,27.5,0.0,51.4,30.27,0.0,54.17,38.05,0.0,0.8
10,5,0.5,10,BITCOIN,154,55.8,5,51.3,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
10,5,0.5,10,XAUUSD,208,76.0,9,19.7,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
10,5,0.5,10,XAGUSD,207,50.2,13,69.6,5,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.197
10,5,0.5,10,WTI,208,38.9,9,63.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
10,5,0.5,10,AVG,,55.23,9.0,51.02,27,39.17,27.5,3.33,52.5,29.18,5.0,54.17,35.83,5.0,0.71
11,5,0.5,14,BITCOIN,154,55.8,5,51.3,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
11,5,0.5,14,XAUUSD,208,76.0,9,19.7,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
11,5,0.5,14,XAGUSD,207,50.2,13,69.6,5,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.197
11,5,0.5,14,WTI,208,38.9,9,63.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
11,5,0.5,14,AVG,,55.23,9.0,51.02,27,39.17,27.5,3.33,52.5,29.18,5.0,54.17,35.83,5.0,0.71
12,5,0.5,20,BITCOIN,154,55.8,5,51.3,2,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,1.035
12,5,0.5,20,XAUUSD,208,76.0,9,19.7,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
12,5,0.5,20,XAGUSD,207,50.2,13,69.6,5,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.197
12,5,0.5,20,WTI,208,38.9,9,63.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
12,5,0.5,20,AVG,,55.23,9.0,51.02,27,39.17,27.5,3.33,52.5,29.18,5.0,54.17,35.83,5.0,0.71
13,5,1.0,10,BITCOIN,154,59.7,7,57.8,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,2.0
13,5,1.0,10,XAUUSD,208,76.0,9,12.0,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
13,5,1.0,10,XAGUSD,207,48.8,13,64.3,5,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.197
13,5,1.0,10,WTI,208,38.9,9,63.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
13,5,1.0,10,AVG,,55.85,9.5,49.4,26,51.67,40.0,3.33,65.0,41.67,5.0,66.67,48.33,5.0,0.95
14,5,1.0,14,BITCOIN,154,59.7,7,57.8,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,2.0
14,5,1.0,14,XAUUSD,208,76.0,9,12.0,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
14,5,1.0,14,XAGUSD,207,48.8,13,64.3,5,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.197
14,5,1.0,14,WTI,208,38.9,9,63.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
14,5,1.0,14,AVG,,55.85,9.5,49.4,26,51.67,40.0,3.33,65.0,41.67,5.0,66.67,48.33,5.0,0.95
15,5,1.0,20,BITCOIN,154,59.7,7,57.8,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,2.0
15,5,1.0,20,XAUUSD,208,76.0,9,12.0,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
15,5,1.0,20,XAGUSD,207,48.8,13,64.3,5,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.197
15,5,1.0,20,WTI,208,38.9,9,63.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
15,5,1.0,20,AVG,,55.85,9.5,49.4,26,51.67,40.0,3.33,65.0,41.67,5.0,66.67,48.33,5.0,0.95
16,5,1.5,10,BITCOIN,154,46.8,9,57.8,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,2.0
16,5,1.5,10,XAUUSD,208,75.5,11,48.1,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
16,5,1.5,10,XAGUSD,207,49.3,17,69.6,4,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.152
16,5,1.5,10,WTI,208,42.3,11,62.0,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
16,5,1.5,10,AVG,,53.47,12.0,59.38,25,54.17,40.0,3.33,67.5,41.67,5.0,69.17,48.33,5.0,0.94
17,5,1.5,14,BITCOIN,154,46.8,9,57.8,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,2.0
17,5,1.5,14,XAUUSD,208,75.5,11,48.1,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
17,5,1.5,14,XAGUSD,207,49.3,17,69.6,4,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.152
17,5,1.5,14,WTI,208,42.3,11,62.0,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
17,5,1.5,14,AVG,,53.47,12.0,59.38,25,54.17,40.0,3.33,67.5,41.67,5.0,69.17,48.33,5.0,0.94
18,5,1.5,20,BITCOIN,154,46.8,9,57.8,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,2.0
18,5,1.5,20,XAUUSD,208,75.5,11,48.1,15,6.7,0.0,13.3,40.0,6.7,20.0,46.7,13.3,20.0,0.212
18,5,1.5,20,XAGUSD,207,49.3,17,69.6,4,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.152
18,5,1.5,20,WTI,208,42.3,11,62.0,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
18,5,1.5,20,AVG,,53.47,12.0,59.38,25,54.17,40.0,3.33,67.5,41.67,5.0,69.17,48.33,5.0,0.94
19,7,0.5,10,BITCOIN,154,50.6,3,31.8,3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,0.356
19,7,0.5,10,XAUUSD,208,75.0,8,20.7,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
19,7,0.5,10,XAGUSD,207,53.6,13,66.2,6,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.167
19,7,0.5,10,WTI,208,54.3,6,64.4,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
19,7,0.5,10,AVG,,58.38,7.5,45.78,28,33.42,23.32,11.9,43.8,25.1,13.67,45.58,31.9,13.67,0.51
20,7,0.5,14,BITCOIN,154,50.6,3,31.8,3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,0.356
20,7,0.5,14,XAUUSD,208,75.0,8,20.7,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
20,7,0.5,14,XAGUSD,207,53.6,13,66.2,6,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.167
20,7,0.5,14,WTI,208,54.3,6,64.4,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
20,7,0.5,14,AVG,,58.38,7.5,45.78,28,33.42,23.32,11.9,43.8,25.1,13.67,45.58,31.9,13.67,0.51
21,7,0.5,20,BITCOIN,154,50.6,3,31.8,3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,0.356
21,7,0.5,20,XAUUSD,208,75.0,8,20.7,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
21,7,0.5,20,XAGUSD,207,53.6,13,66.2,6,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.167
21,7,0.5,20,WTI,208,54.3,6,64.4,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
21,7,0.5,20,AVG,,58.38,7.5,45.78,28,33.42,23.32,11.9,43.8,25.1,13.67,45.58,31.9,13.67,0.51
22,7,1.0,10,BITCOIN,154,55.8,5,52.6,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.5
22,7,1.0,10,XAUUSD,208,75.0,8,16.3,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
22,7,1.0,10,XAGUSD,207,49.3,13,59.9,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
22,7,1.0,10,WTI,208,54.3,6,64.4,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
22,7,1.0,10,AVG,,58.6,8.0,48.3,28,36.42,27.5,16.07,46.8,29.27,17.85,48.58,36.08,17.85,0.55
23,7,1.0,14,BITCOIN,154,55.8,5,52.6,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.5
23,7,1.0,14,XAUUSD,208,75.0,8,16.3,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
23,7,1.0,14,XAGUSD,207,49.3,13,59.9,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
23,7,1.0,14,WTI,208,54.3,6,64.4,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
23,7,1.0,14,AVG,,58.6,8.0,48.3,28,36.42,27.5,16.07,46.8,29.27,17.85,48.58,36.08,17.85,0.55
24,7,1.0,20,BITCOIN,154,55.8,5,52.6,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.5
24,7,1.0,20,XAUUSD,208,75.0,8,16.3,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
24,7,1.0,20,XAGUSD,207,49.3,13,59.9,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
24,7,1.0,20,WTI,208,54.3,6,64.4,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
24,7,1.0,20,AVG,,58.6,8.0,48.3,28,36.42,27.5,16.07,46.8,29.27,17.85,48.58,36.08,17.85,0.55
25,7,1.5,10,BITCOIN,154,55.8,5,52.6,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.5
25,7,1.5,10,XAUUSD,208,74.5,10,46.6,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
25,7,1.5,10,XAGUSD,207,46.4,12,57.0,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
25,7,1.5,10,WTI,208,49.5,10,61.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
25,7,1.5,10,AVG,,56.55,9.25,54.42,28,36.42,27.5,16.07,46.8,29.27,17.85,48.58,36.08,17.85,0.55
26,7,1.5,14,BITCOIN,154,55.8,5,52.6,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.5
26,7,1.5,14,XAUUSD,208,74.5,10,46.6,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
26,7,1.5,14,XAGUSD,207,46.4,12,57.0,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
26,7,1.5,14,WTI,208,49.5,10,61.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
26,7,1.5,14,AVG,,56.55,9.25,54.42,28,36.42,27.5,16.07,46.8,29.27,17.85,48.58,36.08,17.85,0.55
27,7,1.5,20,BITCOIN,154,55.8,5,52.6,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.5
27,7,1.5,20,XAUUSD,208,74.5,10,46.6,14,7.1,0.0,14.3,28.6,7.1,21.4,35.7,14.3,21.4,0.112
27,7,1.5,20,XAGUSD,207,46.4,12,57.0,7,28.6,0.0,0.0,28.6,0.0,0.0,28.6,0.0,0.0,0.197
27,7,1.5,20,WTI,208,49.5,10,61.5,5,60.0,60.0,0.0,80.0,60.0,0.0,80.0,80.0,0.0,1.4
27,7,1.5,20,AVG,,56.55,9.25,54.42,28,36.42,27.5,16.07,46.8,29.27,17.85,48.58,36.08,17.85,0.55
